City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Comodoro Rivadavia,-45.8667,-67.5,49.86,50,0,5.75,AR,2022-09-28 00:42:26
126,Banda Aceh,5.5577,95.3222,80.19,74,100,13.91,ID,2022-09-28 00:42:31
127,Lavrentiya,65.5833,-171.0,39.43,75,99,10.8,RU,2022-09-28 00:42:37
128,Shimoda,34.6667,138.95,73.76,60,70,10.85,JP,2022-09-28 00:42:42
129,Ayapel,8.3137,-75.1398,76.19,95,97,3.56,CO,2022-09-28 00:42:47
130,Izumo,35.3667,132.7667,71.55,88,75,9.22,JP,2022-09-28 00:42:53
131,Odweyne,9.4092,45.064,75.27,55,13,7.74,SO,2022-09-28 00:42:58
132,Clyde River,70.4692,-68.5914,30.43,80,0,8.05,CA,2022-09-28 00:43:04
133,Mar Del Plata,-38.0023,-57.5575,50.09,66,0,5.75,AR,2022-09-28 00:43:09
134,Esperance,-33.8667,121.9,61.16,56,2,9.75,AU,2022-09-28 00:43:14
135,Carutapera,-1.195,-46.02,77.29,84,88,6.42,BR,2022-09-28 00:43:20
136,Paidha,2.4167,30.9855,58.96,86,95,3.4,UG,2022-09-28 00:43:25
137,Olafsvik,64.8945,-23.7142,45.39,62,100,8.5,IS,2022-09-28 00:43:31
138,Severo-Kurilsk,50.6789,156.125,51.64,72,7,18.21,RU,2022-09-28 00:38:59
139,Springville,40.1652,-111.6107,83.95,13,40,6.91,US,2022-09-28 00:45:41
140,Dawei,14.0833,98.2,76.21,92,100,0.72,MM,2022-09-28 00:45:46
141,Kruisfontein,-34.0033,24.7314,61.88,97,99,1.7,ZA,2022-09-28 00:45:52
142,Shasta Lake,40.6804,-122.3708,88.52,24,1,1.01,US,2022-09-28 00:45:57
143,Goiatuba,-18.0125,-49.3547,71.02,78,98,2.04,BR,2022-09-28 00:46:03
144,Havoysund,70.9963,24.6622,46.63,79,66,11.77,NO,2022-09-28 00:46:08
145,Las Margaritas,16.3167,-91.9833,61.39,96,90,4.09,MX,2022-09-28 00:46:13
146,Nanortalik,60.1432,-45.2371,43.09,97,99,2.89,GL,2022-09-28 00:46:19
147,Saskylakh,71.9167,114.0833,24.98,96,85,5.77,RU,2022-09-28 00:46:24
148,Tucurui,-3.7661,-49.6725,77.07,73,34,2.77,BR,2022-09-28 00:46:29
149,Saint-Joseph,-21.3667,55.6167,66.58,71,33,7.65,RE,2022-09-28 00:46:45
150,Lloret De Mar,41.6999,2.8457,65.89,79,85,4.76,ES,2022-09-28 00:46:50
151,Codajas,-3.8367,-62.0569,84.13,56,92,2.86,BR,2022-09-28 00:46:56
152,La Orilla,17.9833,-102.2333,79.88,83,100,3.13,MX,2022-09-28 00:47:01
