City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,42,11.18,scattered clouds
200,Poole,GB,50.7167,-2.0,62.71,89,75,5.75,broken clouds
201,Toyooka,JP,35.5333,134.8333,71.46,89,66,8.08,broken clouds
202,Saint-Augustin,CA,51.226,-58.6502,45.75,55,51,5.26,broken clouds
203,La Ronge,CA,55.1001,-105.2842,59.25,33,20,2.3,smoke
204,Osa,RU,57.2829,55.4567,46.31,64,84,7.31,broken clouds
205,Sola,VU,-13.8833,167.55,80.53,74,23,10.18,few clouds
206,Lompoc,US,34.6391,-120.4579,82.02,64,0,7.0,clear sky
207,Lavrentiya,RU,65.5833,-171.0,38.71,69,2,4.52,clear sky
208,Sassandra,CI,4.95,-6.0833,74.88,94,99,4.99,overcast clouds
209,Sao Filipe,CV,14.8961,-24.4956,79.68,80,100,15.9,light rain
210,Shetpe,KZ,44.1667,52.1167,57.27,22,90,14.88,overcast clouds
211,Tiznit,MA,29.5833,-9.5,78.85,27,0,0.31,clear sky
212,Biak,ID,-0.9131,122.8766,76.17,81,65,0.74,broken clouds
213,Eydhafushi,MV,5.1033,73.0708,82.06,75,100,17.18,overcast clouds
214,Pechora,RU,65.1472,57.2244,39.13,87,100,3.33,overcast clouds
215,Bilma,NE,18.6853,12.9164,89.91,14,0,10.6,clear sky
216,Grindavik,IS,63.8424,-22.4338,46.87,93,100,20.71,overcast clouds
217,Alta Floresta,BR,-9.8756,-56.0861,81.68,54,91,4.47,overcast clouds
218,Ubinskoye,RU,55.3068,79.6802,31.51,79,2,1.48,clear sky
219,Vila Velha,BR,-20.3297,-40.2925,73.94,89,100,15.01,overcast clouds
220,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,93,47,10.78,light rain
221,Hashtrud,IR,37.4779,47.0508,57.33,28,55,2.33,broken clouds
222,Kushiro,JP,42.975,144.3747,66.15,93,100,21.52,light rain
223,Aklavik,CA,68.2191,-135.0107,29.97,85,82,7.2,broken clouds
224,Suba,PH,10.8438,121.0102,84.31,73,96,6.89,moderate rain
225,Lebu,CL,-37.6167,-73.65,51.71,92,100,10.92,overcast clouds
226,Kampong Cham,KH,11.9934,105.4635,74.82,95,100,4.45,overcast clouds
227,Beringovskiy,RU,63.05,179.3167,34.86,89,100,10.04,overcast clouds
228,Hobyo,SO,5.3505,48.5268,76.17,87,26,20.33,scattered clouds
229,Bengkulu,ID,-3.8004,102.2655,76.21,89,100,6.02,overcast clouds
230,Raglan,NZ,-37.8,174.8833,61.09,43,75,4.83,broken clouds
231,Kirando,TZ,-7.4167,30.6,77.02,48,20,0.76,few clouds
232,Gravelbourg,CA,49.8834,-106.5512,69.21,41,26,4.38,scattered clouds
233,Basco,PH,20.4487,121.9702,83.46,76,15,12.95,few clouds
234,Zalantun,CN,48.0,122.7167,28.24,44,0,7.36,clear sky
235,Chicama,PE,-7.8447,-79.1469,68.34,68,16,10.04,few clouds
236,Bahia Honda,CU,22.9036,-83.1592,79.0,61,5,7.9,clear sky
237,Havoysund,NO,70.9963,24.6622,43.03,69,46,7.76,moderate rain
238,Necochea,AR,-38.5473,-58.7368,52.12,62,69,17.36,broken clouds
239,Kuching,MY,1.55,110.3333,73.62,100,20,3.44,few clouds
