,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Suba,PH,84.31,moderate rain,10.8438,121.0102,Jarnchi Pension House
228,Hobyo,SO,76.17,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
229,Bengkulu,ID,76.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
231,Kirando,TZ,77.02,few clouds,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
233,Basco,PH,83.46,few clouds,20.4487,121.9702,Nathaniel's Lodge
236,Bahia Honda,CU,79.0,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
242,Buraydah,SA,78.55,clear sky,26.326,43.975,Mövenpick Qassim
243,Yanam,IN,76.69,overcast clouds,16.7333,82.2167,The Regency Hotel
244,Pizarro,CO,80.74,overcast clouds,4.9533,-77.366,Hotel Limonar
249,Oranjestad,AW,83.86,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
252,Mulege,MX,87.26,clear sky,26.8833,-111.9833,Casa Granada
255,Saint Anthony,US,76.12,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
257,Chokwe,MZ,80.44,clear sky,-24.5333,32.9833,Complexo Sonho Real
263,Kavieng,PG,83.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
266,Namatanai,PG,83.1,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
271,Cairns,AU,77.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
290,San Patricio,US,85.95,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
291,Auki,SB,82.15,overcast clouds,-8.7676,160.7034,Auki Motel
293,Dong Hoi,VN,78.84,scattered clouds,17.4833,106.6,Nam Long Hotel
295,Caravelas,BR,75.92,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
297,Cockburn Town,TC,83.62,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
298,Laguna,US,89.35,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
302,Da Nang,VN,76.98,broken clouds,16.0678,108.2208,Grand Mercure Danang
303,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
304,Faanui,PF,78.66,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
306,Sinnamary,GF,80.28,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
309,Banda Aceh,ID,77.79,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
312,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
313,Cabinda,AO,75.83,overcast clouds,-5.55,12.2,Hotel Maiombe
315,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
317,Khanpur,PK,81.97,clear sky,28.6453,70.6567,Ahmad Bartan store
320,Kieta,PG,82.15,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
325,Eureka,US,86.74,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
333,Noumea,NC,75.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
335,Monrovia,LR,75.13,scattered clouds,6.3005,-10.7969,Sunset Inn
337,Iralaya,HN,75.78,overcast clouds,15.0,-83.2333,Iglesia morava renovada
339,Buala,SB,82.42,light rain,-8.145,159.5921,Maringe Lagoon Lodge
345,Nicoya,CR,83.1,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
346,Jacareacanga,BR,75.2,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
355,Corrente,BR,81.1,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
360,Ranong,TH,76.73,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
364,Cururupu,BR,75.67,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
375,Bambanglipuro,ID,76.1,broken clouds,-7.95,110.2833,Puri Brata
381,Piedras Negras,MX,83.26,overcast clouds,28.7,-100.5167,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
383,Champerico,GT,86.54,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
384,Thakurdwara,IN,77.22,overcast clouds,29.2,78.85,Malik Brother's Hotel For Tourist
